date,holiday_name
2016-03-25,Good Friday
2016-05-02,May Day
2016-05-30,Spring Bank Holiday
2016-01-01,New Year's Day
2016-12-25,Christmas Day
2016-12-27,Christmas Day (observed)
2016-12-26,Boxing Day
2017-04-14,Good Friday
2017-05-01,May Day
2017-05-29,Spring Bank Holiday
2017-01-01,New Year's Day
2017-01-02,New Year's Day (observed)
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-03-30,Good Friday
2018-05-07,May Day
2018-05-28,Spring Bank Holiday
2018-01-01,New Year's Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-04-19,Good Friday
2019-05-06,May Day
2019-05-27,Spring Bank Holiday
2019-01-01,New Year's Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-04-10,Good Friday
2020-05-08,May Day
2020-05-25,Spring Bank Holiday
2020-01-01,New Year's Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-12-28,Boxing Day (observed)
2021-04-02,Good Friday
2021-05-03,May Day
2021-05-31,Spring Bank Holiday
2021-01-01,New Year's Day
2021-12-25,Christmas Day
2021-12-27,Christmas Day (observed)
2021-12-26,Boxing Day
2021-12-28,Boxing Day (observed)
2022-04-15,Good Friday
2022-05-02,May Day
2022-06-02,Spring Bank Holiday
2022-06-03,Platinum Jubilee of Elizabeth II
2022-09-19,State Funeral of Queen Elizabeth II
2022-01-01,New Year's Day
2022-01-03,New Year's Day (observed)
2022-12-25,Christmas Day
2022-12-27,Christmas Day (observed)
2022-12-26,Boxing Day
2023-04-07,Good Friday
2023-05-01,May Day
2023-05-29,Spring Bank Holiday
2023-05-08,Coronation of Charles III
2023-01-01,New Year's Day
2023-01-02,New Year's Day (observed)
2023-12-25,Christmas Day
2023-12-26,Boxing Day
2024-03-29,Good Friday
2024-05-06,May Day
2024-05-27,Spring Bank Holiday
2024-01-01,New Year's Day
2024-12-25,Christmas Day
2024-12-26,Boxing Day
2009-04-10,Good Friday
2009-05-04,May Day
2009-05-25,Spring Bank Holiday
2009-01-01,New Year's Day
2009-12-25,Christmas Day
2009-12-26,Boxing Day
2009-12-28,Boxing Day (observed)
2010-04-02,Good Friday
2010-05-03,May Day
2010-05-31,Spring Bank Holiday
2010-01-01,New Year's Day
2010-12-25,Christmas Day
2010-12-27,Christmas Day (observed)
2010-12-26,Boxing Day
2010-12-28,Boxing Day (observed)
2011-04-22,Good Friday
2011-05-02,May Day
2011-05-30,Spring Bank Holiday
2011-04-29,Wedding of William and Catherine
2011-01-01,New Year's Day
2011-01-03,New Year's Day (observed)
2011-12-25,Christmas Day
2011-12-27,Christmas Day (observed)
2011-12-26,Boxing Day
2012-04-06,Good Friday
2012-05-07,May Day
2012-06-04,Spring Bank Holiday
2012-06-05,Diamond Jubilee of Elizabeth II
2012-01-01,New Year's Day
2012-01-02,New Year's Day (observed)
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-03-29,Good Friday
2013-05-06,May Day
2013-05-27,Spring Bank Holiday
2013-01-01,New Year's Day
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-04-18,Good Friday
2014-05-05,May Day
2014-05-26,Spring Bank Holiday
2014-01-01,New Year's Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-04-03,Good Friday
2015-05-04,May Day
2015-05-25,Spring Bank Holiday
2015-01-01,New Year's Day
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-12-28,Boxing Day (observed)
